campaign_id,campaign_date,platform,impressions,clicks,spend,conversions,region
1,2024-07-31,YouTube,128645,1936,2746.76,190,South
2,2024-04-16,Facebook,361558,14668,3954.15,649,North
3,2024-02-19,YouTube,408958,6278,7306.44,587,North
4,2024-02-22,Instagram,11549,299,255.74,26,West
5,2024-12-17,YouTube,113237,2545,2240.45,162,East
6,2024-05-09,YouTube,197677,3578,2678.91,181,West
7,2024-09-01,Instagram,388600,10511,8932.25,602,East
8,2025-12-24,Instagram,83801,2379,1399.8,206,South
9,2025-06-29,Facebook,394527,16525,8182.06,336,East
10,2024-03-16,Google,73457,4166,484.3,139,North
11,2024-12-06,YouTube,396145,7215,7044.92,208,North
12,2024-03-31,YouTube,302021,5670,6883.89,155,East
13,2024-09-07,Google,103373,6601,1461.48,316,North
14,2025-02-28,Google,281223,16453,5086.78,913,East
15,2025-04-11,Instagram,273445,9104,2049.11,895,North
16,2025-03-17,Facebook,265503,11482,5107.85,567,South
17,2025-05-01,Google,380665,21881,2445.69,1323,East
18,2025-03-26,YouTube,439403,7286,6767.72,503,North
19,2025-03-23,Instagram,372615,12531,8989.97,756,South
20,2024-12-26,Facebook,197012,8560,2499.56,351,East
21,2024-08-08,YouTube,432910,8934,4953.2,424,North
22,2024-08-17,Instagram,414658,12762,8527.87,1081,East
23,2025-08-31,Instagram,224248,6900,3161.82,525,East
24,2025-10-13,YouTube,432179,7242,6231.18,368,East
25,2024-03-25,Google,401539,25227,8831.16,1374,West
26,2025-09-02,Google,41786,2523,770.73,150,South
27,2025-09-06,YouTube,165512,3014,2814.67,275,North
28,2024-03-12,Google,284698,16255,4416.78,562,South
29,2025-01-02,YouTube,426388,10542,7401.43,695,South
30,2024-05-20,Instagram,222102,6733,1198.58,559,West
31,2025-07-19,YouTube,51185,1219,1194.34,77,West
32,2025-07-20,Instagram,355091,10229,7509.43,1016,East
33,2024-04-08,Instagram,97797,3007,998.26,103,North
34,2024-10-04,Instagram,331756,10349,7544.81,732,East
35,2025-05-17,Instagram,462245,15531,9291.99,1538,West
36,2024-03-11,YouTube,188191,3060,3365.98,244,West
37,2024-06-11,Instagram,200262,5280,3756.71,304,West
38,2024-08-19,Facebook,78442,3482,572.63,94,East
39,2025-12-03,Facebook,261544,9781,3533.57,346,West
40,2025-09-12,Instagram,463502,13314,10448.22,407,East
41,2025-03-15,Google,176680,10288,2497.33,946,North
42,2025-07-14,Google,339488,21473,7750.92,1703,South
43,2025-12-27,YouTube,267076,6535,2532.27,578,North
44,2025-07-24,Facebook,392847,17019,2245.1,1411,South
45,2025-07-22,YouTube,56073,1347,894.78,95,North
46,2025-05-28,Instagram,239205,6713,2476.66,646,East
47,2025-07-10,Google,237988,13805,3717.09,1021,North
48,2024-10-09,YouTube,386771,6145,8251.15,449,East
49,2025-05-25,Google,342839,21543,6185.19,1570,East
50,2025-01-28,Instagram,397614,10924,7216.28,679,West
51,2025-03-29,YouTube,108265,1963,1771.82,45,North
52,2025-08-23,Google,24522,1418,316.8,83,West
53,2024-08-05,Instagram,124503,4187,2206.56,225,West
54,2024-04-18,Instagram,328229,8580,3577.05,313,West
55,2025-04-23,Facebook,36939,1384,280.65,36,East
