order_id,order_date,region,city,product_id,units_sold,revenue,profit,customer_type,channel
1,2024-08-07,South,Port Bruce,3,4,14.76,8.72,Returning,Online
2,2025-05-10,South,Dustinside,13,3,15.12,5.49,New,Online
3,2025-10-13,South,Rogerville,4,4,32.64,14.52,Returning,Online
4,2025-07-19,West,Andersonbury,10,4,39.04,20.96,Returning,Retail
5,2025-10-30,East,Douglasmouth,17,5,23.1,13.7,New,Online
6,2025-07-02,West,East Kevin,21,3,20.13,11.55,New,Online
7,2025-04-17,North,Adkinsberg,1,4,17.04,10.08,Returning,Online
8,2025-12-22,North,Benderfurt,11,7,20.72,7.98,Returning,Online
9,2025-12-20,East,North Veronicashire,6,12,34.8,20.64,New,Retail
10,2024-07-16,West,New Lauren,17,7,32.34,19.18,Returning,Online
11,2024-12-21,North,Rachelfort,14,9,69.3,30.78,Returning,Online
12,2024-12-26,East,Theresafort,17,4,18.48,10.96,Returning,Online
13,2025-02-13,East,Claireview,5,3,10.5,4.92,Returning,Retail
14,2025-08-04,East,East Staceymouth,23,3,9.51,5.07,New,Online
15,2024-08-17,South,Rubenmouth,16,5,11.15,6.25,New,Retail
16,2024-11-07,South,Lake Meganburgh,18,1,4.81,2.76,New,Online
17,2024-08-13,West,New Marychester,19,5,29.15,14.25,Returning,Retail
18,2025-01-06,South,Ronaldside,13,6,30.24,10.98,New,Online
19,2025-04-29,West,East Jesse,5,4,14.0,6.56,Returning,Retail
20,2024-03-30,South,West Vanessa,16,2,4.46,2.5,New,Retail
21,2025-02-20,North,Torresmouth,1,6,25.56,15.12,New,Online
22,2025-03-16,West,North Jessicaburgh,21,4,26.84,15.4,Returning,Retail
23,2024-06-23,West,Port Matthewburgh,9,6,16.86,5.94,Returning,Online
24,2025-02-06,North,New Anne,23,8,25.36,13.52,Returning,Online
25,2025-02-04,South,Hornbury,10,8,78.08,41.92,Returning,Retail
26,2024-04-04,East,Benderstad,22,11,57.75,29.37,New,Online
27,2024-04-22,South,West Janetberg,3,4,14.76,8.72,New,Retail
28,2025-12-03,North,Thomasmouth,9,10,28.1,9.9,Returning,Retail
29,2025-02-26,South,West Lisa,8,6,14.64,6.9,Returning,Retail
30,2025-01-06,East,Lake Karen,21,5,33.55,19.25,New,Online
31,2025-04-20,East,Mcfarlandtown,7,5,45.5,21.25,Returning,Online
32,2024-03-10,North,East Kenneth,11,5,14.8,5.7,Returning,Online
33,2024-01-19,South,Stephanieside,9,4,11.24,3.96,New,Online
34,2024-10-19,South,Watkinsside,24,4,19.44,9.8,New,Retail
35,2024-01-31,South,North Christophertown,15,9,31.86,14.85,Returning,Online
36,2024-05-20,North,North Kaitlyn,15,6,21.24,9.9,Returning,Online
37,2024-05-14,East,South Michaeltown,12,8,46.72,20.16,Returning,Retail
38,2024-05-25,North,Cherylmouth,13,8,40.32,14.64,Returning,Online
39,2025-10-26,North,Port Lorifurt,12,6,35.04,15.12,New,Online
40,2024-09-23,East,Loritown,2,5,28.15,16.75,Returning,Retail
41,2024-03-19,West,Mcdonaldchester,9,9,25.29,8.91,Returning,Retail
42,2024-06-08,North,Lake Tracey,16,2,4.46,2.5,Returning,Online
43,2024-05-27,West,Port April,23,1,3.17,1.69,New,Online
44,2024-12-01,West,Levineton,16,6,13.38,7.5,Returning,Retail
45,2024-08-26,North,East Javier,17,7,32.34,19.18,Returning,Retail
46,2025-03-03,South,Lake Anthonyberg,7,6,54.6,25.5,New,Online
47,2025-03-06,South,West Alexandrastad,9,6,16.86,5.94,Returning,Online
48,2024-05-01,North,Stephensbury,8,8,19.52,9.2,New,Retail
49,2024-03-26,South,Shannonport,4,6,48.96,21.78,New,Online
50,2025-03-25,West,North Lauraview,17,3,13.86,8.22,Returning,Online
51,2025-09-18,South,Robertland,12,5,29.2,12.6,New,Retail
52,2025-12-16,South,Hallberg,4,12,97.92,43.56,New,Online
53,2024-02-08,South,South Shelby,7,3,27.3,12.75,New,Retail
54,2025-01-21,East,Amyshire,19,8,46.64,22.8,New,Retail
55,2024-08-17,South,West Kennethville,18,2,9.62,5.52,Returning,Retail
56,2024-01-12,North,South Christopherborough,17,6,27.72,16.44,New,Online
57,2025-03-29,South,Port Jessicatown,11,3,8.88,3.42,Returning,Retail
58,2024-08-31,South,Gutierrezberg,3,5,18.45,10.9,New,Retail
59,2025-11-12,West,Stevenchester,5,9,31.5,14.76,Returning,Online
60,2025-09-23,West,Jenkinsville,17,7,32.34,19.18,New,Retail
61,2025-09-27,East,West Stephanie,10,11,107.36,57.64,Returning,Online
62,2024-03-22,South,North Sarah,19,4,23.32,11.4,New,Retail
63,2024-09-20,North,Richardfort,13,6,30.24,10.98,Returning,Online
64,2024-11-25,North,Deanport,11,7,20.72,7.98,Returning,Retail
65,2024-06-16,South,Snyderberg,17,6,27.72,16.44,New,Retail
66,2024-08-20,East,Harveyport,8,4,9.76,4.6,Returning,Online
67,2025-09-13,South,Jenniferland,19,3,17.49,8.55,Returning,Retail
68,2024-09-05,South,Lauratown,8,2,4.88,2.3,New,Retail
69,2025-08-13,East,Jesseborough,2,3,16.89,10.05,New,Retail
70,2025-09-03,North,West Michaeltown,13,2,10.08,3.66,New,Retail
71,2025-05-16,South,Port Grantfurt,11,7,20.72,7.98,Returning,Retail
72,2024-09-22,South,West Seanport,24,4,19.44,9.8,New,Retail
73,2024-08-03,West,Stonebury,21,1,6.71,3.85,New,Retail
74,2025-06-24,West,Hicksburgh,7,3,27.3,12.75,New,Online
75,2024-09-29,North,Gibsonstad,15,3,10.62,4.95,Returning,Retail
76,2024-06-02,East,Sarahland,8,6,14.64,6.9,New,Retail
77,2025-01-26,South,Timothybury,21,3,20.13,11.55,Returning,Online
78,2024-06-13,North,Hernandezland,8,6,14.64,6.9,Returning,Retail
79,2025-05-20,South,Gabrieltown,17,3,13.86,8.22,Returning,Retail
80,2024-07-30,South,North Erin,21,4,26.84,15.4,Returning,Online
81,2025-03-16,East,Sancheztown,9,9,25.29,8.91,New,Online
82,2024-10-20,South,East Alicialand,2,3,16.89,10.05,Returning,Online
83,2024-12-11,West,Jeromefort,11,7,20.72,7.98,New,Online
84,2024-03-19,South,Hollandmouth,25,4,37.64,20.24,Returning,Online
85,2024-01-27,South,North Charlesburgh,3,4,14.76,8.72,New,Online
